Language, English, German, Russian
STRS_addaction_vehicleinfo,Vehicle information
v1, "Dialog error!", "Dialog error!", "Dialog error!"
v2, "Player is not online!", "Player is not online!", "Player is not online!"
v3, "The bank limit is $%1!", "The bank limit is $%1!", "The bank limit is $%1!"
v4, "You don't have that much cash on you!", "You don't have that much cash on you!", "You don't have that much cash on you!"
v5, "You deposited $%1 into your account.", "You deposited $%1 into your account.", "You deposited $%1 into your account."
v6, "There was a transaction problem!", "There was a transaction problem!", "There was a transaction problem!"
v7, "Your bank account doesn't have that much money!", "Your bank account doesn't have that much money!", "Your bank account doesn't have that much money!"
v8, "%1 sent you $%2.", "%1 sent you $%2.", "%1 sent you $%2."
v9, "You sent %1 $%2.", "You sent %1 $%2.", "You sent %1 $%2."
v10, "You withdrew $%1 from your account.", "You withdrew $%1 from your account.", "You withdrew $%1 from your account."
v11, "You can't transfer money to yourself!", "You can't transfer money to yourself!", "You can't transfer money to yourself!"
v12, "Message doesn't exist!", "Message doesn't exist!", "Message doesn't exist!"
v13, "This area is in-use!", "This area is in-use!", "This area is in-use!"
v14, "You don't have the proper equipment! %1", "You don't have the proper equipment! %1", "You don't have the proper equipment! %1"
v15, "Factory is in-use!", "Factory is in-use!", "Factory is in-use!"
v16, "You are harvesting!", "You are harvesting!", "You are harvesting!"
v17, "You are plotting!", "You are plotting!", "You are plotting!"
v18, "You are sowing!", "You are sowing!", "You are sowing!"
v19, "Field is empty!", "Field is empty!", "Field is empty!"
v20, "The mine ran out!", "The mine ran out!", "The mine ran out!"
v21, "You don't have enough seeds!", "You don't have enough seeds!", "You don't have enough seeds!"
v22, "Inventory is empty!", "Inventory is empty!", "Inventory is empty!"
v23, "You unlocked the vehicle.", "You unlocked the vehicle.", "You unlocked the vehicle."
v24, "You locked the vehicle.", "You locked the vehicle.", "You locked the vehicle."
v25, "No vehicle in range!", "No vehicle in range!", "No vehicle in range!"
v26, "Player is not alive.", "Player is not alive.", "Player is not alive."
v27, "Find a new spot!", "Find a new spot!", "Find a new spot!"
v28, "You %1 %2 messages.", "You %1 %2 messages.", "You %1 %2 messages."
v29, "You are too far away!", "You are too far away!", "You are too far away!"
v30, "Someone's already using the trunk!", "Someone's already using the trunk!", "Someone's already using the trunk!"
v31, "Shop is in-use!", "Shop is in-use!", "Shop is in-use!"
v32, "Unimplemented", "Unimplemented", "Unimplemented"
v33, "You already have %1", "You already have %1", "You already have %1"
v34, "%1 can't be added until %2 is produced!", "%1 can't be added until %2 is produced!", "%1 can't be added until %2 is produced!"
v35, "%1 costs $%2!", "%1 costs $%2!", "%1 costs $%2!"
v36, "%1 defused a %2!", "%1 defused a %2!", "%1 defused a %2!"
v37, "%1 is already being produced at %2!", "%1 is already being produced at %2!", "%1 is already being produced at %2!"
v38, "%1 is already being searched!", "%1 is already being searched!", "%1 is already being searched!"
v39, "%1 is already in production!", "%1 is already in production!", "%1 is already in production!"
v40, "%1 is already in use!", "%1 is already in use!", "%1 is already in use!"
v41, "%1 is not accepting new members!", "%1 is not accepting new members!", "%1 is not accepting new members!"
v42, "%1 requires $%2 to join!", "%1 requires $%2 to join!", "%1 requires $%2 to join!"
v43, "%1 satisfied %2 hunger..", "%1 satisfied %2 hunger..", "%1 satisfied %2 hunger.."
v44, "%1 units of %2 will be produced in %3 seconds!", "%1 units of %2 will be produced in %3 seconds!", "%1 units of %2 will be produced in %3 seconds!"
v45, "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3"
v46, "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3"
v47, "%1 (%2) impounded your %3 (%4)!", "%1 (%2) impounded your %3 (%4)!", "%1 (%2) impounded your %3 (%4)!"
v48, "%1 (%2) released your %3 (%4)!", "%1 (%2) released your %3 (%4)!", "%1 (%2) released your %3 (%4)!"
v49, "%1 has been disbanded!", "%1 has been disbanded!", "%1 has been disbanded!"
v50, "%1 healed you", "%1 healed you", "%1 healed you"
v51, "%1 is now the new leader of %2!", "%1 is now the new leader of %2!", "%1 is now the new leader of %2!"
v52, "%1 joined %2!", "%1 joined %2!", "%1 joined %2!"
v53, "%1 left %2!", "%1 left %2!", "%1 left %2!"
